SearchTerm,Journal,Authors,Authors2,Title,Journal2,Abstract,ORCIDS,ISSN,Publication Year,DOI,KeepTitle,KeepAbstract,KeepFullPaper,ModelCategory,Model,Occurrence/Abundance,Datasource,SamplingMethod,PositiveSiteCt,SiteNotes,Lifestage,Location,Scale,Genera,Species,Environmental_Dataset,Temperature,ExplanatoryFactors,MostImportantVariable,Collinearirt,FutureClimProjection,Notes
MOSQUITO ECOLOGICAL NICHE MODEL,J,Raymundo Ordoñez-Sierra; Carlos Alberto Mastachi-Loza; Carlos Díaz-Delgado; Angela P Cuervo-Robayo; Carlos Roberto Fonseca Ortiz; Miguel A Gómez-Albores; Imelda Medina Torres,,Spatial Risk Distribution of Dengue Based on the Ecological Niche Model of Aedes aegypti (Diptera: Culicidae) in the Central Mexican Highlands,JOURNAL OF MEDICAL ENTOMOLOGY,"Dengue is the most important viral disease transmitted by mosquitoes, predominantly Aedes (Stegomyia) aegypti (L.) (Diptera:Culicidae). Forty percent of the world’s population is at risk of contracting the disease, and a large area of Mexico presents suitable environmental conditions for the life cycle of Ae. aegypti. In particular, the Central Mexican Highlands have a high population density, increasing the risk of transmission and propagation of dengue. In the present study, the potential distribution of Ae. aegypti was modeled under an ecological niche approach using the maximum entropy technique with the aim of determining the spatial risk distribution of dengue. The final model of five variables (minimum temperature of the coldest month |Bio6|, precipitation of the wettest month |Bio13|, precipitation seasonality |Bio15|, the normalized difference vegetation index (NDVI), and relative humidity) contributed to more than 90% of the model’s performance. The results of the potential distribution model were then compared with the number of dengue cases per locality during the 2009–2015 period considering four suitability of presence categories. Category 4 corresponded with the highest suitability of presence (0.747 to 1) and the greatest risk of dengue (odds ratio [OR] = 103.27; P",,,2019,10.1093/jme/tjz244,Yes,yes,yes,MaxEnt,Maxent,Occurrence,"ISEM Database, GBIF",not specified,80,,not specified,"Stae of Mexio, Morelos and Mexico City",Sub-national,Aedes,Aedes aegypti,"WorldClim (C), Servicio Meteorológico Nacional (C), MODIS (LC), FAO (C)","Servicio Meteotologico Nacional, WorldClim, SRTM","Bio 1- 19, DEM, Relative Humidity","the minimum temperature of the coldest month (Bio6), precipitation of the wettest month (Bio13), precipitation seasonality (Bio15), the NDVI, and RH",Correlation (r< 0.85),no,
ANOPHELES SPECIES DISTRIBUTION,J,"Hanafi-Bojd, AA; Vatandoost, H; Yaghoobi-Ershadi, MR","Hanafi-Bojd, Ahmad Ali; Vatandoost, Hassan; Yaghoobi-Ershadi, Mohammad Reza",Climate Change and the Risk of Malaria Transmission in Iran,JOURNAL OF MEDICAL ENTOMOLOGY,"Climate change is an important factor affecting the dynamics of the vectors population and, hence, the risk of vector-borne diseases. This study aimed to predict the environmental suitability for malaria vectors in Iran under climate change scenarios in 2030s and 2050s. Literature search was performed to find documents on the spatial distribution of Anopheles stephensi Liston, 1901, Anopheles culicifacies s.l. Giles, 1901, Anopheles fluviatilis s.l. James, 1902, Anopheles superpictus s.l. Grassi, 1899, Anopheles dthali Patton, 1905, Anopheles maculipennis s.l. Meigen, 1818, and Anopheles sacharovi Favre, 1903 (Diptera: Culicidae) published between 1970 and 2017. The bioclimatic data under three climate change scenarios (representative concentration pathway 2.6 [RCP2.6], RCP4.5, and RCP8.5) and MaxEnt model were used to predict the ecological niches for each species. Comparison between the two study periods under the three scenarios for each species revealed that RCP8.5 would reduce the area at risk for An. culicifacies s.l., An. dthali and An. superpictus s.l. in the 2050s compared to the 2030s, but the reverse will be induced by RCP2.6 and RCP4.5 scenarios. For An. fluviatilis s.l., RCP2.6 will reduce the risk areas in the 2050s, whereas an increase is expected under the two other scenarios. Moreover, all scenarios would decrease the high-risk areas of An. maculipennis s.l. in the 2050s. For An. sacharovi, RCP2.6 would increase its high-risk areas, whereas RCP4.5 and RCP8.5 would decrease its exposure. The high-risk area of An. stephensi is expected to increase under RCP8.5 in the 2030s and RCP4.5 in 2050s, but it will be almost unchanged or reduced under other scenarios.","Vatandoost, Hassan/0000-0002-5983-9420",0022-2585,2020,10.1093/jme/tjz131,yes,yes,yes,MaxEnt,maxent,Occurrence,literature,na,"52 training, 13 testing an. Culicifacies s.l; 76 training, 19 testing an dthali; 46 training and 11 testing an fluviatilis s.l.; 134 training, 33 testing an maculipennis s.l.; 38 training and 9 testing an sacharovi; 88 training and 21 testing an stephensi; 232 training and 58 testing an superpictus",,not specified,Iran,National,Anopheles,"an. Culicifacies s.l, an dthali, an fluviatilis s.l., an maculipennis s.l. an sacharovi, an stephensi, an superpictus",WorldClim (C),bioclim,all bioclim,"varied by species; an culicifacies highest gain bio11, bio15; an dthali highest gain bio 19; an fluviatilis bio 11, bio15; an maculipennis bio 12; an sacharovi bio3; an stephensi bio1; an superpictus bio19",no discussion of collinearity,yes,did future projections
AEDES SPECIES DISTRIBUTION MODEL,J,"Cabrera, CVP; Selvaraj, JJ","Portilla Cabrera, Cristiam Victoriano; Josephraj Selvaraj, John",Geographic shifts in the bioclimatic suitability for Aedes aegypti under climate change scenarios in Colombia,HELIYON,"The Dengue, Chikungunya and Zika viruses are arboviruses predominantly transmitted to humans through the bite of the female mosquito Aedes aegypti. Currently, the vector represents a potential epidemiological risk in several Latin American and Pacific countries. However, little is known about the geographical distribution and bioclimatic suitability of this mosquito in the projected climate change scenarios in Colombia. Using a species distribution model of maximum entropy (MaxEnt) based on presence-only records obtained from Global Biodiversity Information Facility (GBIF), land elevation obtained from Shuttle Radar Topography Mission (SRTM) and bioclimatic variables (WorldClim), we produced environmental suitability maps of this mosquito vector for present and future geographic distribution. The future distribution were constructed based on the Community Climate System Model (CCSM4) for the years 2050 and 2070, projected according to the Representative Concentration Pathways (RCP) 2.6, 4.5 and 8.5 described by the Intergovernmental Panel on Climate Change (IPCC). For the current conditions, Colombia has similar to 140,612.8 square km of areas with the possible presence of the vector; however, for the future, this will be reduced by more than 30%. For the future conditions, the suitable areas for A. aegypti decreased compared to the present, mainly for the year 2070 under RCP scenarios 4.5 and 8.5, however, the probability of mosquito occurrence increases in some departments of Colombia. Areas susceptible to the presence of A. aegypti are affected by climate change. The Caribbean and Andean regions have a high probability of mosquito distribution; therefore, control and epidemiological surveillance are required in these areas. The results can serve as an input to define preventive and control measures, especially in areas with a higher risk of contracting the virus.","Portilla Cabrera, Cristiam Victoriano/0000-0003-4346-3972",2405-8440,2020,10.1016/j.heliyon.2019.e03101,Yes,yes,yes,MaxEnt,Maxent,Occurrence,GBIF,na,128,,not specified,Colombia,National,Aedes,Ae. aegypti,WorldClim (C),Bioclim,"Bioclim, elevation","elevation, bio 3 most important",correlation coefficient <0.8,yes,did future projections
AEDES SPECIES DISTRIBUTION MODEL,J,"Cunze, S; Kochmann, J; Klimpel, S","Cunze, Sarah; Kochmann, Judith; Klimpel, Sven",Global occurrence data improve potential distribution models for Aedes japonicus japonicus in non-native regions,PEST MANAGEMENT SCIENCE,"BACKGROUND There is great interest in modelling the distribution of invasive species, particularly from the point of view of management. However, distribution modelling for invasive species using ecological niche models (ENMs) involves multiple challenges. Owing to the short time span since the introduction or arrival of a non-indigenous species and the associated dispersal limitations, applying regular ENMs at an early stage of the invasion process may result in an underestimation of the potential niche in the new ranges. This topic is dealt with here using the example of Aedes japonicus japonicus, a vector competent mosquito species for a number of diseases. RESULTS We found high niche unfilling for the species' non-native range niches in Europe and North America compared with the native range niche, which can be explained by the early stage of the invasion process. Comparing four different ENMs based on: (i) the European and (ii) the North American non-native range occurrence data, (iii) (derived) native range occurrence data, and (iv) all available occurrence data together, we found large differences in the projected climatic suitability, with the global data model projecting larger areas with climatic suitability. CONCLUSION ENM in biological invasions can be challenging, especially when distribution data are only poorly available. We suggest one possible way to project climatic suitability for Aedes j. japonicus despite poor data availability for the non-native ranges and missing occurrences from the native range. We discuss aspects of the lack of information and the associated implications for modelling. (c) 2020 The Authors. Pest Management Science published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry.",,1526-498X,2020,10.1002/ps.5710,Yes,yes,yes,MaxEnt,Maxent,Occurrence,"GBIF, literature review",na,7406,,not specified,Global,Global,Aedes,Ae. japonicus,WorldClim (C),"annual mean temperature, max temp of the warmest month, min coldest month","annual mean temperature, max temp of the warmest month, min coldest month, annual precipitation, precipitation warmest quarter, precipitation coldest quarter, annual temperature range, precipitation seasonality",not discussed,discussed collinearity but retained all variables,no,projected to non-native species
AEDES ECOLOGICAL NICHE MODEL,J,"Peach, DAH; Matthews, BJ","Peach, Daniel A. H.; Matthews, Benjamin J.",Modeling the Putative Ancient Distribution of Aedes togoi (Diptera: Culicidae),JOURNAL OF INSECT SCIENCE,"The coastal rock pool mosquito, Aedes (Tanakius) togoi (Theobald) (Diptera: Culicidae), is found in coastal east Asia in climates ranging from subtropical to subarctic. However, a disjunct population in the Pacific Northwest of North America has an ambiguous heritage.Two potential models explain the presence of Ae. togoi in North America: ancient Beringian dispersal or modern anthropogenic introduction. Genetic studies have thus far proved inconclusive. Here we described the putative ancient distribution of Ae. togoi habitat in east Asia and examined the climatic feasibility of a Beringian introduction into North America using modern distribution records and ecological niche modeling of bioclimatic data from the last interglacial period (similar to 120,000 BP), the last glacial maximum (similar to 21,000 BP), and the mid-Holocene (similar to 6000 BP). Our results suggest that suitable climatic conditions existed for Ae. togoi to arrive in North America through natural dispersal as well as to persist there until present times. Furthermore, we find that ancient distributions of suitable Ae. togoi habitat in east Asia may explain the genetic relationships between Ae. togoi populations identified in other studies.These findings indicate the utility of ecological niche modeling as a complementary tool for studying insect phylogeography.","Matthews, Benjamin/0000-0002-8697-699X; Peach, Daniel/0000-0002-8913-5133",,2020,10.1093/jisesa/ieaa035,yes,yes,yes,MaxEnt,maxent,Occurrence,"literature review, museum specimens",na,"86 in Asia, 49 in North America",,not specified,north America and Asia,Regional,Aedes,ae togoi,WorldClim (C),bioclim,bioclim,"mean diurnal range, min temp of the coldest month, precipitation of the coldest quarter","pairwise correlations discussed, but cutoff not specified",no,"did past projections at last interglacial period, last glacial maximum, mid-Holocene period"
ANOPHELES SPECIES DISTRIBUTION,J,"Espinosa-Velez, Y; Altamiranda-Saavedra, M; Correa, MM","Espinosa-Velez, Yilmar; Altamiranda-Saavedra, Mariano; Correa, Margarita M.",Potential distribution of main malaria vector species in the endemic Colombian Pacific region,TROPICAL MEDICINE & INTERNATIONAL HEALTH,"Objective To assess the existing fundamental niche, potential distribution and degree of niche overlap for the three main Colombian malaria vectors Anopheles albimanus, Anopheles darlingi and Anopheles nuneztovari in the major malaria endemic Pacific region. Methods We used models based on presence records and Normalised Difference Vegetation Index (NDVI) data, created using the maximum entropy algorithm. Results The three vector species occupied heterogeneous environments, and their NDVI values differed. Anopheles albimanus had the largest niche amplitude and was distributed mainly on coastal areas. Environmentally suitable areas for An. albimanus and An. nuneztovari were the dry forest of inter-Andean Valleys in south-western Colombia, as confirmed for An. albimanus during model validation. There was a slight degree of niche overlap between An. darlingi and An. nuneztovari, and the species co-occurred in humid forests, predominantly in riparian zones of the San Juan and Atrato rivers. Conclusion The information obtained may be used for the implementation of vector control interventions in selected priority areas to reduce malaria risk in this region while optimising resources.",,1360-2276,2020,10.1111/tmi.13399,yes,yes,yes,MaxEnt,maxent,Occurrence,Human landing catch and literature review,protected human landing catches,,,adults,Colombia,Sub-national,Anopheles,"an albimanus, an darlingi, an nuneztovari",MODIS (LC),no,NDVI,NDVI values differed for each species,PCA of NDVI imagery,no,
CULEX ECOLOGICAL NICHE MODEL,J,"Liu, BY; Gao, X; Zheng, KR; Ma, J; Jiao, ZH; Xiao, JH; Wang, HB","Liu, Boyang; Gao, Xiang; Zheng, Keren; Ma, Jun; Jiao, Zhihui; Xiao, Jianhua; Wang, Hongbin",The potential distribution and dynamics of important vectors Culex pipiens pallens and Culex pipiens quinquefasciatus in China under climate change scenarios: an ecological niche modelling approach,PEST MANAGEMENT SCIENCE,"BACKGROUND Intense studies have been carried out on the effects of climate change on vector-borne diseases and vectors. Culex pipiens pallens and Culex pipiens quinquefasciatus are two medically concerned mosquito species in temperate and tropical areas, which serve as important disease-transmitting pests of a variety of diseases. The ongoing geographical expansion of these mosquitoes has brought an increasing threat to public health. RESULTS Based on mosquito occurrence records and high-resolution environmental layers, an ecological niche model was established to model their current and future potential distribution in China. Our model showed that the current suitable area for Cx. p. pallens is distributed in the central, eastern and northern parts of China, while Cx. p. quinquefasciatus is distributed in vast areas in southern China. Under future climate change scenarios, both species are predicted to expand their range to varying degrees and RCP 8.5 provides the largest expansion. Northward core shifts will occur in ranges of both species. Environmental variables which have significant impact on the distribution of mosquitoes were also revealed by our model. CONCLUSION Severe habitat expansion of vectors is likely to occur in the future 21st century. Our models mapped the high-risk areas and risk factors which needs to be paid attention. The results of our study can be referenced in further ecological surveys and will guide the development of strategies for the prevention and control of vector-borne diseases. (c) 2020 Society of Chemical Industry","Liu, Boyang/0000-0003-4569-933X",1526-498X,2020,10.1002/ps.5861,yes,yes,yes,MaxEnt,maxent,Occurrence,"literature review, Global Biodiversity Information Facility",na,427 Cx pallens; 133 Cx quinquefasciatus,,adults and larvae,China,National,Culex,"cx pallens, cx quinquefasciatus","WorldClim (C), Land-Use Harmonization database (LC)",bioclim,"bioclim, land use","culex pipiens: temperature seasonality, annual crops, perennial crops; culex pipiens quinqs: precipitation of the driest quarter, perennial crops, urban land",correlation coefficient > 0.70,yes,
AEDES ECOLOGICAL NICHE MODEL,J,"Liu, BY; Ma, J; Jiao, ZH; Gao, X; Xiao, JH; Wang, HB","Liu, Boyang; Ma, Jun; Jiao, Zhihui; Gao, Xiang; Xiao, Jianhua; Wang, Hongbin",Risk assessment for the Rift Valley fever occurrence in China: Special concern in south-west border areas,TRANSBOUNDARY AND EMERGING DISEASES,"Rift Valley fever (RVF) is a mosquito-borne zoonotic disease. Since its first outbreak in 1930, RVF epidemics have caused huge economic losses and public health impacts in Africa. In 2000, RVF became a disease of global concern as it spread to the Arabian Peninsula. In our study, a Geographic Information System-based risk assessment for the occurrence of Rift Valley fever in China was established by means of ecological niche modelling. Based on occurrence records (RVF records from FAO EMPRES-i, vector records from literatures and GBIF) and high-resolution environmental layers, the prediction maps of RVF occurrence probability and distribution of five potential RVF vectors in China were modelled using Maxent. An internal validation was adopted for model verification, and high AUC values were obtained (0.918 for RVF and 0.837-0.992 for vectors). By overlaying the RVF prediction map with the combined RVF vector prediction map using Fuzzy overlay tool ('AND' operator) of ArcMap 10.2, we got the first risk map of possible RVF vector transmission. This map was further overlaid with the latest livestock distribution map ('AND' operator) to generate the second risk map of possible RVF threat to domestic livestock. The south-west border provinces in China, Yunnan, Guangxi and Tibet were predicted to have a high possibility of RVF occurrence. Conditions conducive to the local amplification of RVF also exist in these areas. Temperature seasonality, mean temperature of dry season and precipitation of the driest month were considered as key environmental variables for RVF, and common environmental conditions were found conductive for vectors. It is suggested to establish proper surveillance systems in south-west border areas to minimize the possibility of RVF invasion. Our findings can serve as a valuable reference for prevention measures to be implemented.","Liu, Boyang/0000-0003-4569-933X",1865-1674,2020,10.1111/tbed.13695,yes,yes,yes,MaxEnt,Maxent,Occurrence,Literature review and GBIF,na,"Ae. aegypti (139), Ae. albopictus (559), Ae. vexans (136), Cx. Quinquefasciatus (210), Cx. Tritaeniorhynchus (318)",,not specified,China,National,Multiple,"Ae. aegypti, Ae. albopictus, Ae. vexans, Cx. Quinquefasciatus, Cx. Tritaeniorhynchus","WorldClim (C), NASA GIMMS V1 (LC), Shuttle Radar Topography Mission (T)",Bioclim variables,"Bioclim, NDVI, host density, elevation","high precipitation, warm winter, NDVI","Stepwise VIF, VIF < 10",no,
MOSQUITO SPECIES DISTRIBUTION MODEL,J,Daniela Figueroa; Sergio Scott; Christian R González; Gustavo Bizama; Raul Flores-Mara; Ramiro O. Bustamante; Mauricio Canals; Néstor Cáceres Velásquez,,"Estimating the climate change consequences on the potential distribution of Culex pipiens L. 1758, to assess the risk of West Nile virus establishment in Chile",GAYANA,"Climate change affects the dynamics of vector-borne diseases. Culex pipiens Linnaeus is the main vector of West Nile fever; a widely distributed arbovirus, it is continuously increasing its distribution. Using a species distribution model, maps of suitable habitats of Cx. pipiens were generated for Chile in the current climate and three climate change scenarios, using global and regional georeferenced vector presence records as input, plus bioclimatic variables. Since this virus has not yet arrived in Chile, the purpose of this study is to anticipate potential risk areas and to prevent the establishment and spread of the virus. Cx. pipiens is widely distributed in Chile. The suitable habitats in Chile were concentrated mostly from 32º to 35ºS, increasing in future scenarios up to 113 % in the northern zone and moving towards the mountains. This species conserves around 90 % of its niche in the future, and shows a reduction of 11.4 % in the severe climate change scenario. It is anticipated that Chile will experience an increase in the environmental suitability for Cx. pipiens moving from the Andes to the coastal zone throughout the country, mainly in the center-south. This will raise the risk of local virus transmission if the virus is introduced to the country via diverse routes.",,0717-652X,2020,10.4067/S0717-65382020000100046,Yes,yes,Yes,MaxEnt,Maxent,Occurrence,GBIF,na,106 (From field sampling sites),sampled from Chile (insititute of Public Health of Chile),not specified,Chile,National,Culex,Culex pipiens Linnaeus,WorldClim (C),Worldclim,All 19 Bioclim variables,"Annual Temperature, Average Diurnal Temperature, Annual Precipitation and Seasonality of Precipitation",Pearson’s coefficient < 0.7,yes,
MOSQUITO ECOLOGICAL NICHE MODEL,J,Daniel S Marshall; Christopher J Butler,,POTENTIAL DISTRIBUTION OF THE BIOCONTROL AGENT TOXORHYNCHITES RUTILUS BY 2070,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,"Climate change projections indicate that mosquito distributions will expand to include new areas of North America, increasing human exposure to mosquito-borne disease. Controlling these vectors is imperative, as mosquito-borne disease incidence will rise in response to expansion of mosquito range and increased seasonality. One means of mosquito control used in the USA is the biocontrol agent, Toxorhynchites rutilus. Climate change will open new habitats for its use by vector control organizations, but the extent of this change in habitat is currently unknown. We used a maximum entropy approach to create species distribution models for Tx. rutilus under 4 climate change scenarios by 2070. Mean temperature of warmest quarter (22.6°C to 29.1°C), annual precipitation (1,025.15 mm to 1,529.40 mm), and precipitation seasonality (?17.86) are the most important bioclimatic variables for suitable habitat. The center of current possible habitat distribution of Tx. rutilus is in central Tennessee. Depending upon the scenario, we expect centroids to shift north-northeast by 97.68 km to 280.16 km by 2070. The extreme change in area of greater than 50% suitable habitat probability is 141.14% with 99.44% area retained. Our models indicate limited change in current habitat as well as creation of new habitat. These results are promising for North American mosquito control programs for the continued and potential combat of vector mosquitoes using Tx. rutilus.",,8756-971X,2020,10.2987/8756-971X-36.3.131,Yes,yes,yes,MaxEnt,Maxent,Occurrence,GBIF,na,123,,not specified,"North CanadaUSA, Canada, Mexico",Regional,Other,Toxorhynchites rutilus,"WorldClim (C, T)",Worldclim,"Bio1-19, Elevation","mean temperature of warmest quarter, annual precipitation, and precipitation seasonality, elevation",AUC (0.9),yes,
MOSQUITO ECOLOGICAL NICHE MODEL,J,Sandra Castaño-Quintero​; Jazmín Escobar-Luján; Luis Osorio-Olvera; A Townsend Peterson; Xavier Chiappa-Carrara; Enrique Martínez-Meyer; Carlos Yañez-Arenas,,Supraspecific units in correlative niche modeling improves the prediction of geographic potential of biological invasions,PEERJ,"Background: Biological invasions rank among the most significant threats to biodiversity and ecosystems. Correlative ecological niche modeling is among the most frequently used tools with which to estimate potential distributions of invasive species. However, when areas accessible to the species across its native distribution do not represent the full spectrum of environmental conditions that the species can tolerate, correlative studies often underestimate fundamental niches. Methods: Here, we explore the utility of supraspecific modeling units to improve the predictive ability of models focused on biological invasions. Taking into account phylogenetic relationships in correlative ecological niche models, we studied the invasion patterns of three species (Aedes aegypti, Pterois volitans and Oreochromis mossambicus).Results:Use of supraspecific modeling units improved the predictive ability of correlative niche models in anticipating potential distributions of three invasive species. We demonstrated that integrating data on closely related species allowed a more complete characterization of fundamental niches. This approach could be used to model species with invasive potential but that have not yet invaded new regions.",,2167-8359,2020,10.7717/peerj.10454,yes,yes,yes,MaxEnt,Maxent,Occurrence,GBIF,na,9806,,not specified,,Global,Multiple,Aedes aegypti,CliMond,"Climond, BioOracle",BIO1 Annual mean temperature (°C) BIO2 Mean diurnal temperature range (mean (period max - min)) (°C) BIO3 Isothermality (BIO2/BIO7) BIO4 Temperature seasonality (C of V) BIO5 Max temperature of warmest week (°C) BIO6 Min temperature of coldest week (°C) BIO7 Temperature annual range (BIO5-BIO6) (°C) BIO10 Mean temperature of warmest quarter (°C) BIO11 Mean temperature of coldest quarter (°C) BIO12 Annual precipitation (mm) BIO13 Precipitation of wettest week (mm) BIO14 Precipitation of driest week (mm) BIO16 Precipitation of wettest quarter (mm) BIO17 Precipitation of driest quarter (mm) BIO20 Annual mean radiation (W m-2) BIO21 Highest weekly radiation (W m-2) BIO22 Lowest weekly radiation (W m-2) BIO23 Radiation seasonality (C of V) BIO28 Annual mean moisture index BIO29 Highest weekly moisture index BIO30 Lowest weekly moisture index BIO32 Mean moisture index of wettest quarter BIO33 Mean moisture index of driest quarter,Present Surface Temperature Min (°C) Present Surface Temperature Max (°C) Present Surface Temperature Mean (°C) Present Surface Temperature Lt Min (°C) Present Surface Temperature Lt Max (°C) Present Surface Temperature Range (°C) Present Surface Salinity Min (PSS) Present Surface Salinity Max (PSS) Present Surface Salinity Mean (PSS) Present Surface Salinity Lt Min (PSS) Present Surface Salinity Lt Max (PSS) Present Surface Salinity Range (PSS,Principal Component Analysis,no,
AEDES ECOLOGICAL NICHE MODEL,J,J Guillermo Bond; David A Moo-Llanes; Aldo I Ortega-Morales; Carlos F Marina; Mauricio Casas-Martínez; Rogelio Danis-Lozano,,Diversity and potential distribution of culicids of medical importance of the Yucatan Peninsula. Mexico,SALUD PUBLICA DE MEXICO,"Objective. To determine the species distribution, abundance, and diversity of culicids in the Yucatan Peninsula (YP); their potential distribution, using ecological niche modeling (ENM), and the risk of contact with urban and rural populations. Materials and methods. A cross-sectional study was carried out through the YP. The diversity of species was determined with the Shannon index. The potential distribution of the culicids was determined through the ENM, as well as the risk of urban and rural populations though contact with vectors. Results. A total of 10 699 specimens, 15 genera and 52 species were registered. Campeche and the Biosphere Reserve of Calakmul exhibited the highest diversity. Con- clusions. The ENM predict a high suitability in all the YP of Ae.aegypti, An. albimanus, An. pseudopuntipennis, Cx. coronator, and Cx. quinquefasciatus. The vector species that exhibited the highest risk of contact in the YP were Cx. quinquefasciatus, Ae.aegypti and Ae. albopictus.",,0036-3634,2020,10.21149/11208,yes,yes,yes,MaxEnt,Maxent,Occurrence,Sample and GBIF,"Pipettes, metal dippers, ovitraps, BG sentinel traps, BDV tent traps.",3458,,adults and larvae,"Campeche and Yucatan; Ría Lagartos, in Yucatan, and Sian Ka’an, in Quintana Roo",Sub-national,Multiple,Cq. venezuelensis An. pseudopunctipennis An. albimanus Ae. albopictus Ps. confinnis Sa.chloropterus Hg. equinus Ae. taeniorhynchus Cx. interrogator An. vestitipennis Cx. coronator Cx. nigripalpus Ae. aegypti Cx. quinquefasciatus,"WorldClim (C), USGS Hydro (T)",Worldclim,"mean annual temperature, seasonal temperature, maximum temperature, minimum temperature, annual temperature range, annual rainfall, precipitation of the wettestmonth, precipitation of the driest month and seasonality of precipitation), aspect, slope,topographical index and elevation","mean annual temperature, seasonal temperature, maximum temperature, minimum temperature, annual temperature range, annual rainfall, precipitation of the wettest month, precipitation of the driest month and seasonality of precipitation), aspect, slope,topographical index and elevation",AUC > 0.9,no,
CULEX ECOLOGICAL NICHE MODEL,J,Hamid Reza Shoraka; A Sofizadeh; A Mehravaran,,Larval habitat characteristics and predicting the distribution of Culex tritaeniorhynchus using maximum entropy (MaxEnt) modelin Golestan Province (north of Iran),JOURNAL OF VECTOR BORNE DISEASES,"Background & objectives: Culex tritaeniorhynchus is a widely distributed and medically important mosquito species (Diptera: Culicidae). The aim of this study was to determine characteristics of larval habitats and predict the distribution of Cx. Tritaeniorhynchus using maximum entropy (MaxEnt) model in Golestan Province (north of Iran). Methods: Overall, 53 villages and cities from the 14 counties in the Golestan Province were studied. Suitable habitats for sampling of mosquitoes were determined in the selected villages. Larval sampling was carried out 10 times using a standardized dipper (350 ml). Captured larvae in each dipper were counted and kept in special containers. Larvae were put in lactophenol and were then mounted on microscope slides prepared according to the de Faure’s formula. All villages where Cx. tritaeniorhynchus was isolated from were considered as the species presence points, and their coordinates were extracted from the GIS. The obtained data were entered into the model in Microsoft Excel 2003. Layers required for the study were obtained from the World Clim global climate database at a spatial resolution of 1 km2. The MaxEnt software (version 3.3.3) was used to predict the most suitable ecological niches of Cx. tritaeniorhynchus. Results: Out of the 5168 specimens collected from 53 villages and cities, 1097 specimens (21%) were identified as Cx. tritaeniorhynchus. The central and western areas of the province are environmental suitability areas for distribution of this species compared to the other areas. Area under curve (AUC) value for Cx. tritaeniorhynchus was 0.888. Environmental variables with highest gain in the model were precipitation of coldest quarter (bio19), maximum temperature of warmest month (bio5) and slope. Interpretation & conclusion: Precipitation and temperature are important determinants of Cx. tritaeniorhynchus distribution in Golestan Province.",,0972-9062,2020,10.4103/0972-9062.311780,yes,yes,yes,MaxEnt,Maxent,Occurrence,Larval sampling,na,,,larvae,"Golistan, Iran",Sub-national,Multiple,"An. hyrcanus, An. maculipennis, An. pseudopictus, An. superpictus, Cx. hortensis, Cx. mimeticus, Cx. perexiguus, Cx. pipiens, Cx. pusillus, Cx. theileri, Cx. tritaeniohynchus, Cs. longiareolata, Oc. caspius, Uranotaenia unguiculata","WorldClim (C), DEM (T), MODIS (LC)","Worldclim, Weatherstation Data","Bio 1-19, NDVI, Aspect, Slope, Altitude,","precipitation of wettest quarter (bio16), precipitation of coldest quarter (bio19), maximum temperature of warmest month (bio5) and mean diurnal range [mean of monthly (max temp – min temp)] (bio2)",Jacknife Test,no,
